ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 1 default
493,simple,HYD 4150-,Hydromatic SHEF 45 Pump,'-1,0,visible,"The Hydromatic® SHEF45 submersible pump is specifically designed to meet the demands of residential septic tank effluent or sump applications. The 2 inch NPT discharge pump features an energy efficient 1/2 horsepower motor, manual version. The SHEF45 can handle capacities up to 87 gallons per minute and heads to 44 feet. For more details review the <a href='http://www.movewater.ca/wp-content/uploads/2017/11/784.pdf'>Product Spec Sheet.</a>","MAXIMUM HEAD:  44'\n\nVOLTAGE:  available in 115v or 230v\n\nFULL-LOAD AMP DRAW:  8.6 amps on 115v / 4.3 amps on 230v\n\nMOTOR:  1/2 HP shaded pole with thermal overload protection, 3450 RPM\n\nMAXIMUM LIQUID TEMPERATURE:  140 degrees F (60 degrees C)\n\nMINIMUM SUMP DIAMETER:  24"" for simplex / 30"" for duplex\n\nSWITCH:  Wide-angle tethered\n\nBODY MATERIAL:  Class 30 cast iron\n\nIMPELLER CONSTRUCTION:  Cast Iron\n\nDISCHARGE SIZE:  2"" NPT\n\nSOLIDS HANDLING:  3/4""\n\nPOWER CORD:  20' SJTW-A (30' and 50' optional)",,,taxable,,1,5,,0,1,,,,,0,,,,"Sump\, Effluent & Sewage Pumps > Effluent Pumps, Sump\, Effluent & Sewage Pumps",,,https://www.movewater.ca/wp-content/uploads/2017/11/hYDROMATIC-shef-1.png,,,,,"TOR 02700\, TOR 02750, LIT 4800",,,,0,,,,,,,,,
499,variable,"BER 12010, BER 12020, BER 12030, BER 12035",Berkeley SN Series Jet Pumps,1,0,visible,"ProJet SN Series Pumps provide excellent performance with good pressure for wells to 25' deep. Self-priming after the priming chamber has been filled with water.
\n<ul>
\n 	<li><strong>Quality Close-Grained Cast Iron Body </strong>Plus Drain Port Provided for Easy Winterizing</li>
\n 	<li><strong>Built-In Lexan<sup>TM</sup> Jet</strong> Nozzle and Venturi for Maximum Resistance to Corrosion and Abrasion</li>
\n 	<li><strong>Clean Out Plug</strong> Provided for Ease of Service</li>
\n 	<li><strong>NORYL Impeller</strong> is Precision Molded for Perfect Balance ... Ultra-Smooth for Highest Performance and Efficiency</li>
\n 	<li><strong>Precision Molded Diffuser</strong> Means Pump Primes Faster, Handles More Air with Multi-Port, Precision Molded, Reinforced Polypropylene Diffuser</li>
\n 	<li><strong>Carbon-Ceramic Mechanical Shaft Seal</strong> with Stainless Steel Parts</li>
\n 	<li><strong>Superior Insulation Materials</strong> Protect Motor Windings Against Excessive Moisture and Contamination</li>
\n 	<li><strong>Balanced Rotor</strong> Is Die Cast Under High Pressures and Dynamically Balanced for Uniform Performance and Greater Efficiency</li>
\n 	<li><strong>Heavy Duty Ball Bearings</strong> are Shielded and Permanently Lubricated to Provide Extended Life and Smooth Quiet Operation</li>
\n 	<li><strong>Stainless Steel Pump and Motor Shaft</strong> for Maximum Corrosion Resistance. One-Piece Threaded Shaft for Positive Impeller Drive and Alignment</li>
\n 	<li><strong>Dustproof Cover</strong> Protects All Electrical Components from Dirt, Dust, and Insects; Ventilating Air Cannot Contaminate Vital Switching Components</li>
\n 	<li><strong>Professional Quality Pressure Switch</strong> Has Adjustable Cut-In with Fixed Differential of 20 PSI</li>
\n</ul>","Max. Liquid Temperature: 140°F
\nMax. Inlet Pressure: 50 PSI
\nAverage Priming Time (in minutes) at
\n15 Feet:
\n5SN = 2.3; 7SN = 1.7
\n10SN = 1.3; 15SN = 1.1
\nAverage Priming Time (in minutes) at
\n25 Feet:
\n5SN = 6.4; 7SN = 4.4
\n10SN = 4.4; 15SN = 2.6
\nBody: Close-grained cast iron
\nNozzle: High-strength Lexan®
\nVenturi: Lexan
\nImpeller: Noryl®
\nDiffuser: Reinforced polypropylene
\nShaft: One-piece threaded, 416 grade
\nstainless steel
\nBase: Steel, 12 gauge",,,taxable,,1,5,,0,0,,,,,0,,,,"Water Systems > Jet Pump, Water Systems",,,https://www.movewater.ca/wp-content/uploads/2018/05/sn_series_projet_sha_6huY5.jpg.webp,,,,,"HYD 3500, HYD 4150-, TOR 02800",,,,0,Brands,Berkeley,1,1,Berkeley SN Series,"10SN Berkeley 1 hp Jet Pump, 15SN Berkeley 1-1/2 hp SW Jet Pump, 5SN Berkeley 1/2 hp Jet Pump, 7SN Berkeley 3/4hp Jet Pump",1,1,
510,simple,TOR 02800,Myers MDC50 PC1 Pump,1,0,visible,"The Myers MDC series cast iron sump/light effluent pumps are designed to operate in a variety of installations. A unique combination of corrosion-resistant materials make these pumps a great choice for extreme conditions. Pump intake screen, impeller, volute base, switch, and power cord are serviceable. Available in 1/3 and 1/2 HP models.","The Myers MDC series cast iron sump/light effluent pumps are designed to operate in a variety of installations. A unique combination of corrosion-resistant materials make these pumps a great choice for extreme conditions. Pump intake screen, impeller, volute base, switch, and power cord are serviceable. Available in 1/3 and 1/2 HP models.",,,taxable,,1,17,,0,1,,,,,0,,,1,"Sump\, Effluent & Sewage Pumps > Sump Pumps, Sump\, Effluent & Sewage Pumps",,,https://www.movewater.ca/wp-content/uploads/2018/05/mdc33-p1.png.webp,,,,,"HYD 3500, LIT 4800",,,,0,Brands,Myers,0,0,,,,,
512,variable,"TOR 02700, TOR 02750",Myers MDC33 P1 Pump,1,0,visible,"The MDC33 is Designed for dewatering and basement sump applications.
\nMyers MDC Typical Applications
\nBasement Sumps
\nDewatering
\nWater Transfer
\nLight Septic Tank Effluent","Designed for dewatering and basement sump applications.
\nMyers MDC Typical Applications
\nBasement Sumps
\nDewatering
\nWater Transfer
\nLight Septic Tank Effluent
\nMyers MDC Features
\nRemoval of drainage water and light septic tank effluent.
\nHIgh-endurance, oil-cooled motor provides continuous bearing lubrication and maximizes heat dissipation.
\nShaded pole motor eliminates failure-prone switches and relays.
\nLong life carbon/ceramic seal protects motor against water leakage.
\nHeat sensor overload protection with automatic reset when motor cools to a safe operating temperature.
\nLubricated ball bearings and shaft seal for longer service life.
\nAnti-airlock hole in base reduces added labor.
\nVertical and tethered switch models offer a piggyback plug for automatic operation.",,,taxable,,1,5,,0,1,,,,,0,,,,"Sump\, Effluent & Sewage Pumps > Sump Pumps, Sump\, Effluent & Sewage Pumps",,,https://www.movewater.ca/wp-content/uploads/2018/05/mdc33-p1.png.webp,,,,,"BER 12010\, BER 12020\, BER 12030\, BER 12035, HYD 2000, HYD 4150-",,,,0,Brands,Myers,1,1,Myers MDC33 P1,"MDC33P1 Myers Sump Pump - 10 ft. cords, MDC33PC1 Myers Pump - 20 ft. cords",1,1,
513,variable,"MER 20500, MER 20600",SJE Rhombus Tank Alert AB,1,0,visible,"The <strong>Tank Alert® AB</strong> (auto reset, battery backup) indoor alarm system provides audio/visual warning of potential threatening liquid level conditions in lift pump chambers, sump pump basins, holding tanks, sewage, agricultural and other water applications.
\n
\nFor more details review the <a href=""http://www.movewater.ca/wp-content/uploads/2017/11/taab-features-new_1.pdf"" target=""_blank"" rel=""noopener noreferrer"">Product Spec Sheet</a>.",120 volt Liquid Level Alarm c/w Float and Battery Back Up,,,taxable,,1,5,,0,0,,,,,1,,,,"Accessories, Accessories > Alarm",,,https://www.movewater.ca/wp-content/uploads/2017/11/rhombus.jpg.webp,,,,,,,,,0,Brands,SJE Rhombus,1,1,SJE Rhombus Tank Alert AB,"AB Tank Alert ""High"" Level Alarm, AB Tank Alert ""Low"" Level Alarm",1,1,
515,variable,"MER 21300, MER 21400",SJE Rhombus Tank Alert XT,1,0,visible,"The Tank Alert® XT indoor/outdoor alarm system provides audio/visual warning of potential threatening liquid level conditions in lift pump chambers, sump pump basins, holding tanks, sewage, agricultural and other non-potable water applications.
\n
\nFor more details review the <a href=""http://www.movewater.ca/wp-content/uploads/2017/11/taxt-features_1.pdf""> Product Spec Sheet.</a>",120 volt Liquid Level Outdoor Alarm c/w Float,,,taxable,,1,5,,0,1,,,,,0,,,,"Accessories, Accessories > Alarm",,,https://www.movewater.ca/wp-content/uploads/2018/05/Tank-Alert-XT-240-1.png.webp,,,,,"MER 19700, MER 20500\, MER 20600, PRT 04200",,,,0,Brands,SJE Rhombus,1,1,SJE Rhombus Tank Alert XT,"XT Tank Alert ""High"" Level Alarm, XT Tank Alert ""Low"" Level Alarm",1,1,
517,simple,MER 19700,SJE Rhombus Verticalmaster Pump Switch,1,0,visible,"The SJE VerticalMaster® pump switch is designed to directly control pumps up to 1/2 HP at 120 VAC  in non-potable water and sewage applications with limited space. It works well in small sump chambers, effluent applications, and laundry trays, as well as in large tanks.",See spec sheet for more details.,,,taxable,,1,8,,0,1,,,,,0,,,1,Accessories > Float Switch,,,https://www.movewater.ca/wp-content/uploads/2018/05/vm_1.jpg.webp,,,,,"MER 20500\, MER 20600, PRT 04200, MER 21300\, MER 21400",,,,0,,,,,,,,,
